song_name,n_hums,n_regulars,most_common_hum,song_release_date,album_name,song_art_image_url,song_pageviews,song_id,song_lyrics_url,song_annotation_count,artist_id,artist_name,artist_url,album_id,album_url,percent_hums,rank
Copernicus Landing,75,0,uh,2014-02-25,KiD CuDi presents SATELLITE FLIGHT: The journey to Mother Moon,https://images.genius.com/f93aafaafd092a8bb9b2224aea7385f6.670x670x1.jpg,27690,369644,https://genius.com/Kid-cudi-copernicus-landing-lyrics,1,68,Kid Cudi,https://genius.com/artists/Kid-cudi,67138,https://genius.com/albums/Kid-cudi/Kid-cudi-presents-satellite-flight-the-journey-to-mother-moon,1,1
Beautiful Trip,3,4,oh,2020-12-11,Man on the Moon III: The Chosen,https://images.genius.com/07a3deb92bfe7c78f95add89edc0e5ed.1000x1000x1.png,28752,6250761,https://genius.com/Kid-cudi-beautiful-trip-lyrics,4,68,Kid Cudi,https://genius.com/artists/Kid-cudi,692902,https://genius.com/albums/Kid-cudi/Man-on-the-moon-iii-the-chosen,0.42857142857142855,1
Sept. 16,84,240,na,2020-12-11,Man on the Moon III: The Chosen,https://images.genius.com/07a3deb92bfe7c78f95add89edc0e5ed.1000x1000x1.png,75887,6250777,https://genius.com/Kid-cudi-sept-16-lyrics,3,68,Kid Cudi,https://genius.com/artists/Kid-cudi,692902,https://genius.com/albums/Kid-cudi/Man-on-the-moon-iii-the-chosen,0.25925925925925924,2
Immortal,88,290,hmmm,2013-03-14,Indicud,https://images.genius.com/c3386ff460b47f648b1c6630fd54fdbb.500x500x1.jpg,333695,122383,https://genius.com/Kid-cudi-immortal-lyrics,9,68,Kid Cudi,https://genius.com/artists/Kid-cudi,20193,https://genius.com/albums/Kid-cudi/Indicud,0.2328042328042328,1
Releaser (Ft. Kacy Hill),32,117,hmm,2016-12-16,"Passion, Pain & Demon Slayin’",https://images.genius.com/f8865356fee027178c8a101afce2f61a.1000x1000x1.png,120740,2867508,https://genius.com/Kid-cudi-releaser-lyrics,4,68,Kid Cudi,https://genius.com/artists/Kid-cudi,152011,https://genius.com/albums/Kid-cudi/Passion-pain-demon-slayin,0.21476510067114093,1
The Rage,129,526,na,2018-04-13,Rampage (Original Motion Picture Soundtrack),https://images.genius.com/f4d2ec0f0f6affdb61e28bfb118a678a.1000x1000x1.jpg,42332,3646080,https://genius.com/Kid-cudi-the-rage-lyrics,3,68,Kid Cudi,https://genius.com/artists/Kid-cudi,419298,https://genius.com/albums/Andrew-lockington/Rampage-original-motion-picture-soundtrack,0.1969465648854962,1
Marijuana,66,298,la,2010-11-09,Man on the Moon II: The Legend of Mr. Rager,https://images.genius.com/14137476a886859359839ede660df307.1000x1000x1.jpg,214246,1835,https://genius.com/Kid-cudi-marijuana-lyrics,3,68,Kid Cudi,https://genius.com/artists/Kid-cudi,4428,https://genius.com/albums/Kid-cudi/Man-on-the-moon-ii-the-legend-of-mr-rager,0.1813186813186813,1
Alive (Nightmare),78,355,na,2009-09-15,Man on the Moon: The End of Day,https://images.genius.com/23da9eb13af7d717bed8f6bd5da7d419.1000x1000x1.png,122193,4078,https://genius.com/Kid-cudi-alive-nightmare-lyrics,1,68,Kid Cudi,https://genius.com/artists/Kid-cudi,4427,https://genius.com/albums/Kid-cudi/Man-on-the-moon-the-end-of-day,0.18013856812933027,1
Insides Out,21,103,oh,2015-12-04,Speedin’ Bullet 2 Heaven,https://images.genius.com/854fa85e9ebd6f2af80c0040cdd56b2e.1000x1000x1.jpg,14346,2375553,https://genius.com/Kid-cudi-insides-out-lyrics,0,68,Kid Cudi,https://genius.com/artists/Kid-cudi,128397,https://genius.com/albums/Kid-cudi/Speedin-bullet-2-heaven,0.1693548387096774,1
Edge of the Earth / Post Mortem Boredom,41,215,na,2015-12-04,Speedin’ Bullet 2 Heaven,https://images.genius.com/854fa85e9ebd6f2af80c0040cdd56b2e.1000x1000x1.jpg,59276,2383401,https://genius.com/Kid-cudi-edge-of-the-earth-post-mortem-boredom-lyrics,2,68,Kid Cudi,https://genius.com/artists/Kid-cudi,128397,https://genius.com/albums/Kid-cudi/Speedin-bullet-2-heaven,0.16015625,2
REVOFEV,47,264,ooh,2010-11-09,Man on the Moon II: The Legend of Mr. Rager,https://images.genius.com/14137476a886859359839ede660df307.1000x1000x1.jpg,121169,1873,https://genius.com/Kid-cudi-revofev-lyrics,1,68,Kid Cudi,https://genius.com/artists/Kid-cudi,4428,https://genius.com/albums/Kid-cudi/Man-on-the-moon-ii-the-legend-of-mr-rager,0.15112540192926044,2
She Knows This,79,472,mm,2020-12-11,Man on the Moon III: The Chosen,https://images.genius.com/07a3deb92bfe7c78f95add89edc0e5ed.1000x1000x1.png,99223,6250764,https://genius.com/Kid-cudi-she-knows-this-lyrics,8,68,Kid Cudi,https://genius.com/artists/Kid-cudi,692902,https://genius.com/albums/Kid-cudi/Man-on-the-moon-iii-the-chosen,0.14337568058076225,3
In My Dreams 2015,2,12,hey,2014-02-25,KiD CuDi presents SATELLITE FLIGHT: The journey to Mother Moon,https://images.genius.com/7744c4b88da50edf5469ffb3b498bdb9.1000x1000x1.jpg,24132,369632,https://genius.com/Kid-cudi-in-my-dreams-2015-lyrics,3,68,Kid Cudi,https://genius.com/artists/Kid-cudi,67138,https://genius.com/albums/Kid-cudi/Kid-cudi-presents-satellite-flight-the-journey-to-mother-moon,0.14285714285714285,2
Make Her Say (I Poke Her Face) (Ft. Common & Kanye West),84,591,oh,2009-06-09,Dat Kid From Cleveland,https://images.genius.com/d5c7c90fc58965951da4af5a29cc5416.630x630x1.jpg,241319,404,https://genius.com/Kid-cudi-make-her-say-i-poke-her-face-lyrics,15,68,Kid Cudi,https://genius.com/artists/Kid-cudi,19137,https://genius.com/albums/Kid-cudi/Dat-kid-from-cleveland,0.12444444444444444,1
Dive,35,247,ayy,2020-12-11,Man on the Moon III: The Chosen,https://images.genius.com/07a3deb92bfe7c78f95add89edc0e5ed.1000x1000x1.png,63450,6250765,https://genius.com/Kid-cudi-dive-lyrics,6,68,Kid Cudi,https://genius.com/artists/Kid-cudi,692902,https://genius.com/albums/Kid-cudi/Man-on-the-moon-iii-the-chosen,0.12411347517730496,4
The Pale Moonlight,51,376,nah,2020-12-11,Man on the Moon III: The Chosen,https://images.genius.com/07a3deb92bfe7c78f95add89edc0e5ed.1000x1000x1.png,46525,6250780,https://genius.com/Kid-cudi-the-pale-moonlight-lyrics,3,68,Kid Cudi,https://genius.com/artists/Kid-cudi,692902,https://genius.com/albums/Kid-cudi/Man-on-the-moon-iii-the-chosen,0.11943793911007025,5
Lovin’ Me,26,200,la,2020-12-11,Man on the Moon III: The Chosen,https://images.genius.com/07a3deb92bfe7c78f95add89edc0e5ed.1000x1000x1.png,65652,6250779,https://genius.com/Kid-cudi-lovin-me-lyrics,6,68,Kid Cudi,https://genius.com/artists/Kid-cudi,692902,https://genius.com/albums/Kid-cudi/Man-on-the-moon-iii-the-chosen,0.11504424778761062,6
Flight at First Sight / Advanced (Ft. Pharrell Williams),74,606,bmm,2016-12-16,"Passion, Pain & Demon Slayin’",https://images.genius.com/f8865356fee027178c8a101afce2f61a.1000x1000x1.png,55527,2867465,https://genius.com/Kid-cudi-flight-at-first-sight-advanced-lyrics,3,68,Kid Cudi,https://genius.com/artists/Kid-cudi,152011,https://genius.com/albums/Kid-cudi/Passion-pain-demon-slayin,0.10882352941176471,2
Mr. Rager,47,397,oh,2010-11-09,Man on the Moon II: The Legend of Mr. Rager,https://images.genius.com/14137476a886859359839ede660df307.1000x1000x1.jpg,434694,1687,https://genius.com/Kid-cudi-mr-rager-lyrics,13,68,Kid Cudi,https://genius.com/artists/Kid-cudi,4428,https://genius.com/albums/Kid-cudi/Man-on-the-moon-ii-the-legend-of-mr-rager,0.10585585585585586,3
Rose Golden (Ft. WILLOW),59,501,na,2016-12-16,"Passion, Pain & Demon Slayin’",https://images.genius.com/f8865356fee027178c8a101afce2f61a.1000x1000x1.png,285764,2867524,https://genius.com/Kid-cudi-rose-golden-lyrics,11,68,Kid Cudi,https://genius.com/artists/Kid-cudi,152011,https://genius.com/albums/Kid-cudi/Passion-pain-demon-slayin,0.10535714285714286,3
ILLusions,41,353,ohh,2016-12-16,"Passion, Pain & Demon Slayin’",https://images.genius.com/f8865356fee027178c8a101afce2f61a.1000x1000x1.png,88285,2867519,https://genius.com/Kid-cudi-illusions-lyrics,5,68,Kid Cudi,https://genius.com/artists/Kid-cudi,152011,https://genius.com/albums/Kid-cudi/Passion-pain-demon-slayin,0.10406091370558376,4
Trapped in My Mind,39,339,oh,2010-11-09,Man on the Moon II: The Legend of Mr. Rager,https://images.genius.com/14137476a886859359839ede660df307.1000x1000x1.jpg,161650,3715,https://genius.com/Kid-cudi-trapped-in-my-mind-lyrics,9,68,Kid Cudi,https://genius.com/artists/Kid-cudi,4428,https://genius.com/albums/Kid-cudi/Man-on-the-moon-ii-the-legend-of-mr-rager,0.10317460317460317,4
The Commander,42,372,ahh,2016-12-16,"Passion, Pain & Demon Slayin’",https://images.genius.com/f8865356fee027178c8a101afce2f61a.1000x1000x1.png,55765,2932618,https://genius.com/Kid-cudi-the-commander-lyrics,4,68,Kid Cudi,https://genius.com/artists/Kid-cudi,152011,https://genius.com/albums/Kid-cudi/Passion-pain-demon-slayin,0.10144927536231885,5
Screwed,8,77,ayy,2015-12-04,Speedin’ Bullet 2 Heaven,https://images.genius.com/854fa85e9ebd6f2af80c0040cdd56b2e.1000x1000x1.jpg,20351,2383396,https://genius.com/Kid-cudi-screwed-lyrics,0,68,Kid Cudi,https://genius.com/artists/Kid-cudi,128397,https://genius.com/albums/Kid-cudi/Speedin-bullet-2-heaven,0.09411764705882353,3
4 da Kidz,42,417,nah,2020-12-11,Man on the Moon III: The Chosen,https://images.genius.com/07a3deb92bfe7c78f95add89edc0e5ed.1000x1000x1.png,41908,6250782,https://genius.com/Kid-cudi-4-da-kidz-lyrics,4,68,Kid Cudi,https://genius.com/artists/Kid-cudi,692902,https://genius.com/albums/Kid-cudi/Man-on-the-moon-iii-the-chosen,0.0915032679738562,7
Kitchen (Ft. Jaden),29,340,hmm,2016-12-16,"Passion, Pain & Demon Slayin’",https://images.genius.com/f8865356fee027178c8a101afce2f61a.1000x1000x1.png,146138,2867559,https://genius.com/Kid-cudi-kitchen-lyrics,3,68,Kid Cudi,https://genius.com/artists/Kid-cudi,152011,https://genius.com/albums/Kid-cudi/Passion-pain-demon-slayin,0.07859078590785908,6
We Aite (Wake Your Mind Up),7,84,hm,2010-11-09,Man on the Moon II: The Legend of Mr. Rager,https://images.genius.com/14137476a886859359839ede660df307.1000x1000x1.jpg,28437,26051,https://genius.com/Kid-cudi-we-aite-wake-your-mind-up-lyrics,1,68,Kid Cudi,https://genius.com/artists/Kid-cudi,4428,https://genius.com/albums/Kid-cudi/Man-on-the-moon-ii-the-legend-of-mr-rager,0.07692307692307693,5
Sky Might Fall,39,478,ahh,2008-07-17,Dat Kid From Cleveland,https://images.genius.com/23da9eb13af7d717bed8f6bd5da7d419.1000x1000x1.png,117975,1156,https://genius.com/Kid-cudi-sky-might-fall-lyrics,4,68,Kid Cudi,https://genius.com/artists/Kid-cudi,19137,https://genius.com/albums/Kid-cudi/Dat-kid-from-cleveland,0.07543520309477757,2
Love Stoned,24,301,ahh,NA,NA,https://images.genius.com/ed8110f936431abefe3f091051fc41df.518x518x1.jpg,9918,4930,https://genius.com/Kid-cudi-love-stoned-lyrics,1,68,Kid Cudi,https://genius.com/artists/Kid-cudi,NA,NA,0.07384615384615385,1
Ghost!,30,380,na,2010-11-09,Man on the Moon II: The Legend of Mr. Rager,https://images.genius.com/14137476a886859359839ede660df307.1000x1000x1.jpg,282984,2337,https://genius.com/Kid-cudi-ghost-lyrics,7,68,Kid Cudi,https://genius.com/artists/Kid-cudi,4428,https://genius.com/albums/Kid-cudi/Man-on-the-moon-ii-the-legend-of-mr-rager,0.07317073170731707,6
Tequila Shots,34,445,hm,2020-12-11,Man on the Moon III: The Chosen,https://images.genius.com/07a3deb92bfe7c78f95add89edc0e5ed.1000x1000x1.png,149487,6250762,https://genius.com/Kid-cudi-tequila-shots-lyrics,10,68,Kid Cudi,https://genius.com/artists/Kid-cudi,692902,https://genius.com/albums/Kid-cudi/Man-on-the-moon-iii-the-chosen,0.0709812108559499,8
Wounds,13,176,hmmm,2016-12-16,"Passion, Pain & Demon Slayin’",https://images.genius.com/f8865356fee027178c8a101afce2f61a.1000x1000x1.png,54803,2867546,https://genius.com/Kid-cudi-wounds-lyrics,3,68,Kid Cudi,https://genius.com/artists/Kid-cudi,152011,https://genius.com/albums/Kid-cudi/Passion-pain-demon-slayin,0.06878306878306878,7
Another Day,29,436,hmm,2020-12-11,Man on the Moon III: The Chosen,https://images.genius.com/07a3deb92bfe7c78f95add89edc0e5ed.1000x1000x1.png,84328,6250763,https://genius.com/Kid-cudi-another-day-lyrics,11,68,Kid Cudi,https://genius.com/artists/Kid-cudi,692902,https://genius.com/albums/Kid-cudi/Man-on-the-moon-iii-the-chosen,0.06236559139784946,9
Pursuit of Happiness (Nightmare) (Ft. MGMT & Ratatat),25,382,oh,2009-09-15,Man on the Moon: The End of Day,https://images.genius.com/678a9114776c5da6b2e8acaa8c8d68a8.630x630x1.jpg,1005571,401,https://genius.com/Kid-cudi-pursuit-of-happiness-nightmare-lyrics,13,68,Kid Cudi,https://genius.com/artists/Kid-cudi,4427,https://genius.com/albums/Kid-cudi/Man-on-the-moon-the-end-of-day,0.06142506142506143,2
Brothers (Ft. A$AP Rocky & King Chip),46,708,hey,2013-04-12,Indicud,https://images.genius.com/699f98c18a6750dc382068fbcdbc0236.1000x1000x1.jpg,245514,133898,https://genius.com/Kid-cudi-brothers-lyrics,17,68,Kid Cudi,https://genius.com/artists/Kid-cudi,20193,https://genius.com/albums/Kid-cudi/Indicud,0.0610079575596817,2
Do What I Want,16,254,hm,NA,Entergalactic,https://images.genius.com/e5f1d8abfe9ba18e1162aeb95122089c.519x519x1.png,NA,5469854,https://genius.com/Kid-cudi-do-what-i-want-lyrics,3,68,Kid Cudi,https://genius.com/artists/Kid-cudi,661351,https://genius.com/albums/Kid-cudi/Entergalactic,0.05925925925925926,1
The Void,34,542,oh,2020-12-11,Man on the Moon III: The Chosen,https://images.genius.com/07a3deb92bfe7c78f95add89edc0e5ed.1000x1000x1.png,93090,6250778,https://genius.com/Kid-cudi-the-void-lyrics,5,68,Kid Cudi,https://genius.com/artists/Kid-cudi,692902,https://genius.com/albums/Kid-cudi/Man-on-the-moon-iii-the-chosen,0.059027777777777776,10
Surfin' (Ft. Pharrell Williams),52,849,aaa,2016-09-30,"Passion, Pain & Demon Slayin’",https://images.genius.com/23aff3418ecc0a9b60d36169beaf0a00.1000x1000x1.jpg,194322,2846383,https://genius.com/Kid-cudi-surfin-lyrics,12,68,Kid Cudi,https://genius.com/artists/Kid-cudi,152011,https://genius.com/albums/Kid-cudi/Passion-pain-demon-slayin,0.05771365149833518,8
Cosmic Warrior,11,183,mmmm,2016-12-16,"Passion, Pain & Demon Slayin’",https://images.genius.com/f8865356fee027178c8a101afce2f61a.1000x1000x1.png,48740,2867557,https://genius.com/Kid-cudi-cosmic-warrior-lyrics,3,68,Kid Cudi,https://genius.com/artists/Kid-cudi,152011,https://genius.com/albums/Kid-cudi/Passion-pain-demon-slayin,0.05670103092783505,9
Mojo So Dope,28,470,oh,2010-11-09,Man on the Moon II: The Legend of Mr. Rager,https://images.genius.com/14137476a886859359839ede660df307.1000x1000x1.jpg,304266,1869,https://genius.com/Kid-cudi-mojo-so-dope-lyrics,10,68,Kid Cudi,https://genius.com/artists/Kid-cudi,4428,https://genius.com/albums/Kid-cudi/Man-on-the-moon-ii-the-legend-of-mr-rager,0.05622489959839357,7
Did You Get It,31,522,na,2010-09-01,Lime Light Exclusives 3,https://images.genius.com/ed8110f936431abefe3f091051fc41df.518x518x1.jpg,NA,57743,https://genius.com/Kid-cudi-did-you-get-it-lyrics,0,68,Kid Cudi,https://genius.com/artists/Kid-cudi,564537,https://genius.com/albums/Various-artists/Lime-light-exclusives-3,0.05605786618444846,1
Maple,5,86,oh,NA,NA,https://images.genius.com/ed8110f936431abefe3f091051fc41df.518x518x1.jpg,NA,4478734,https://genius.com/Kid-cudi-maple-lyrics,1,68,Kid Cudi,https://genius.com/artists/Kid-cudi,NA,NA,0.054945054945054944,2
Solo Dolo (Nightmare),18,310,oh,2009-09-15,Man on the Moon: The End of Day,https://images.genius.com/23da9eb13af7d717bed8f6bd5da7d419.1000x1000x1.png,214442,26045,https://genius.com/Kid-cudi-solo-dolo-nightmare-lyrics,10,68,Kid Cudi,https://genius.com/artists/Kid-cudi,4427,https://genius.com/albums/Kid-cudi/Man-on-the-moon-the-end-of-day,0.054878048780487805,3
Mr. Solo Dolo III,25,436,oh,2020-12-11,Man on the Moon III: The Chosen,https://images.genius.com/07a3deb92bfe7c78f95add89edc0e5ed.1000x1000x1.png,89324,6250769,https://genius.com/Kid-cudi-mr-solo-dolo-iii-lyrics,5,68,Kid Cudi,https://genius.com/artists/Kid-cudi,692902,https://genius.com/albums/Kid-cudi/Man-on-the-moon-iii-the-chosen,0.05422993492407809,11
The Guide (Ft. André 3000),28,510,ooh,2016-12-16,"Passion, Pain & Demon Slayin’",https://images.genius.com/f8865356fee027178c8a101afce2f61a.1000x1000x1.png,81888,2867471,https://genius.com/Kid-cudi-the-guide-lyrics,10,68,Kid Cudi,https://genius.com/artists/Kid-cudi,152011,https://genius.com/albums/Kid-cudi/Passion-pain-demon-slayin,0.05204460966542751,10
Mature Nature,9,169,hmm,2016-12-16,"Passion, Pain & Demon Slayin’",https://images.genius.com/f8865356fee027178c8a101afce2f61a.1000x1000x1.png,34818,2867550,https://genius.com/Kid-cudi-mature-nature-lyrics,2,68,Kid Cudi,https://genius.com/artists/Kid-cudi,152011,https://genius.com/albums/Kid-cudi/Passion-pain-demon-slayin,0.05056179775280899,11
Cleveland is the Reason,24,455,oh,2008-07-17,A Kid Named Cudi,https://images.genius.com/4fb504d5b4dda8a236c224bb1cc11e2a.800x800x1.jpg,77705,4997,https://genius.com/Kid-cudi-cleveland-is-the-reason-lyrics,5,68,Kid Cudi,https://genius.com/artists/Kid-cudi,4424,https://genius.com/albums/Kid-cudi/A-kid-named-cudi,0.05010438413361169,1
Bet Ya Know*,1,19,hey,NA,Entergalactic,https://images.genius.com/e5f1d8abfe9ba18e1162aeb95122089c.519x519x1.png,NA,5307863,https://genius.com/Kid-cudi-bet-ya-know-lyrics,1,68,Kid Cudi,https://genius.com/artists/Kid-cudi,661351,https://genius.com/albums/Kid-cudi/Entergalactic,0.05,2
Intro (A Kid Named Cudi),6,115,huh,2008-07-17,A Kid Named Cudi,https://images.genius.com/4fb504d5b4dda8a236c224bb1cc11e2a.800x800x1.jpg,NA,3952714,https://genius.com/Kid-cudi-intro-a-kid-named-cudi-lyrics,1,68,Kid Cudi,https://genius.com/artists/Kid-cudi,4424,https://genius.com/albums/Kid-cudi/A-kid-named-cudi,0.049586776859504134,2
Dance 4 Eternity,14,275,hmm,2016-12-16,"Passion, Pain & Demon Slayin’",https://images.genius.com/f8865356fee027178c8a101afce2f61a.1000x1000x1.png,56638,2867534,https://genius.com/Kid-cudi-dance-4-eternity-lyrics,1,68,Kid Cudi,https://genius.com/artists/Kid-cudi,152011,https://genius.com/albums/Kid-cudi/Passion-pain-demon-slayin,0.04844290657439446,12
That Girl,7,144,oh,2009-12-11,A Kid Named Cudi,https://images.genius.com/d5cb36155378fcee8cb7fe60e4a7f394.770x770x1.jpg,29908,59271,https://genius.com/Kid-cudi-that-girl-lyrics,1,68,Kid Cudi,https://genius.com/artists/Kid-cudi,4424,https://genius.com/albums/Kid-cudi/A-kid-named-cudi,0.046357615894039736,3
