song_name,n_hums,n_regulars,most_common_hum,song_release_date,album_name,song_art_image_url,song_pageviews,song_id,percent_hums,song_lyrics_url,song_annotation_count,artist_id,artist_name,artist_url,album_id,album_url,rank
Beautiful Trip,3,4,oh,2020-12-11,Man on the Moon III: The Chosen,https://images.genius.com/07a3deb92bfe7c78f95add89edc0e5ed.1000x1000x1.png,47441,6250761,0.42857142857142855,https://genius.com/Kid-cudi-beautiful-trip-lyrics,3,68,Kid Cudi,https://genius.com/artists/Kid-cudi,692902,https://genius.com/albums/Kid-cudi/Man-on-the-moon-iii-the-chosen,1
Sept. 18,84,240,na,2020-09-18,NA,https://images.genius.com/26da54297be506aeebdbff03306223ad.640x640x1.jpg,NA,6850098,0.25925925925925924,https://genius.com/Kid-cudi-sept-18-lyrics,1,68,Kid Cudi,https://genius.com/artists/Kid-cudi,NA,NA,1
Sept. 16,84,240,na,2020-12-11,Man on the Moon III: The Chosen,https://images.genius.com/07a3deb92bfe7c78f95add89edc0e5ed.1000x1000x1.png,156363,6250777,0.25925925925925924,https://genius.com/Kid-cudi-sept-16-lyrics,9,68,Kid Cudi,https://genius.com/artists/Kid-cudi,692902,https://genius.com/albums/Kid-cudi/Man-on-the-moon-iii-the-chosen,2
Immortal,89,289,hmmm,2013-03-14,Indicud,https://images.genius.com/c3386ff460b47f648b1c6630fd54fdbb.500x500x1.jpg,347961,122383,0.23544973544973544,https://genius.com/Kid-cudi-immortal-lyrics,10,68,Kid Cudi,https://genius.com/artists/Kid-cudi,20193,https://genius.com/albums/Kid-cudi/Indicud,1
Pursuit Of Happiness (Nightmare) (Prime Day Show x Kid Cudi),94,350,na,2021-06-17,Prime Day Show x Kid Cudi,https://images.genius.com/db4578a0b4af70ee0a7ab5700d776dcb.600x600x1.jpg,NA,6922872,0.21171171171171171,https://genius.com/Kid-cudi-pursuit-of-happiness-nightmare-prime-day-show-x-kid-cudi-lyrics,0,68,Kid Cudi,https://genius.com/artists/Kid-cudi,784634,https://genius.com/albums/Kid-cudi/Prime-day-show-x-kid-cudi,1
Who I Am,52,203,oh,2009-01-01,NA,https://images.genius.com/26da54297be506aeebdbff03306223ad.640x640x1.jpg,NA,6659737,0.20392156862745098,https://genius.com/Kid-cudi-who-i-am-lyrics,1,68,Kid Cudi,https://genius.com/artists/Kid-cudi,NA,NA,2
The Rage,129,526,na,2018-04-13,Rampage (Original Motion Picture Soundtrack),https://images.genius.com/f4d2ec0f0f6affdb61e28bfb118a678a.1000x1000x1.jpg,45047,3646080,0.1969465648854962,https://genius.com/Kid-cudi-the-rage-lyrics,3,68,Kid Cudi,https://genius.com/artists/Kid-cudi,419298,https://genius.com/albums/Andrew-lockington/Rampage-original-motion-picture-soundtrack,1
Marijuana,66,298,la,2010-11-09,Man on the Moon II: The Legend of Mr. Rager,https://images.genius.com/14137476a886859359839ede660df307.1000x1000x1.jpg,239211,1835,0.1813186813186813,https://genius.com/Kid-cudi-marijuana-lyrics,4,68,Kid Cudi,https://genius.com/artists/Kid-cudi,4428,https://genius.com/albums/Kid-cudi/Man-on-the-moon-ii-the-legend-of-mr-rager,1
Alive (Nightmare) (Ft. Ratatat),78,355,na,2009-09-15,Man on the Moon: The End of Day,https://images.genius.com/23da9eb13af7d717bed8f6bd5da7d419.1000x1000x1.png,144561,4078,0.18013856812933027,https://genius.com/Kid-cudi-alive-nightmare-lyrics,3,68,Kid Cudi,https://genius.com/artists/Kid-cudi,4427,https://genius.com/albums/Kid-cudi/Man-on-the-moon-the-end-of-day,1
Killswitch,22,102,hmm,NA,KC9*,https://images.genius.com/26da54297be506aeebdbff03306223ad.640x640x1.jpg,NA,7227664,0.1774193548387097,https://genius.com/Kid-cudi-killswitch-lyrics,1,68,Kid Cudi,https://genius.com/artists/Kid-cudi,819200,https://genius.com/albums/Kid-cudi/Kc9,1
Insides Out,21,103,oh,2015-12-04,Speedin’ Bullet 2 Heaven,https://images.genius.com/b82971c3819d9daa88e4cd61713052a0.1000x1000x1.jpg,16672,2375553,0.1693548387096774,https://genius.com/Kid-cudi-insides-out-lyrics,1,68,Kid Cudi,https://genius.com/artists/Kid-cudi,128397,https://genius.com/albums/Kid-cudi/Speedin-bullet-2-heaven,1
Edge of the Earth / Post Mortem Boredom,41,215,na,2015-12-04,Speedin’ Bullet 2 Heaven,https://images.genius.com/b82971c3819d9daa88e4cd61713052a0.1000x1000x1.jpg,70873,2383401,0.16015625,https://genius.com/Kid-cudi-edge-of-the-earth-post-mortem-boredom-lyrics,6,68,Kid Cudi,https://genius.com/artists/Kid-cudi,128397,https://genius.com/albums/Kid-cudi/Speedin-bullet-2-heaven,2
In Love,55,300,mmm,2022-09-30,Entergalactic,https://images.genius.com/34e7d4bd13f663ceedcf6199559703e7.1000x1000x1.jpg,5683,8392239,0.15492957746478872,https://genius.com/Kid-cudi-in-love-lyrics,0,68,Kid Cudi,https://genius.com/artists/Kid-cudi,661351,https://genius.com/albums/Kid-cudi/Entergalactic,1
REVOFEV,47,264,ooh,2010-11-09,Man on the Moon II: The Legend of Mr. Rager,https://images.genius.com/14137476a886859359839ede660df307.1000x1000x1.jpg,140775,1873,0.15112540192926044,https://genius.com/Kid-cudi-revofev-lyrics,1,68,Kid Cudi,https://genius.com/artists/Kid-cudi,4428,https://genius.com/albums/Kid-cudi/Man-on-the-moon-ii-the-legend-of-mr-rager,2
She Knows This,79,472,mm,2020-12-11,Man on the Moon III: The Chosen,https://images.genius.com/07a3deb92bfe7c78f95add89edc0e5ed.1000x1000x1.png,179989,6250764,0.14337568058076225,https://genius.com/Kid-cudi-she-knows-this-lyrics,7,68,Kid Cudi,https://genius.com/artists/Kid-cudi,692902,https://genius.com/albums/Kid-cudi/Man-on-the-moon-iii-the-chosen,3
In My Dreams 2015,2,12,hey,2014-02-25,KiD CuDi presents SATELLITE FLIGHT: The journey to Mother Moon,https://images.genius.com/f93aafaafd092a8bb9b2224aea7385f6.670x670x1.jpg,26171,369632,0.14285714285714285,https://genius.com/Kid-cudi-in-my-dreams-2015-lyrics,3,68,Kid Cudi,https://genius.com/artists/Kid-cudi,67138,https://genius.com/albums/Kid-cudi/Kid-cudi-presents-satellite-flight-the-journey-to-mother-moon,1
Ignite The Love,33,199,hmm,2022-09-30,Entergalactic,https://images.genius.com/34e7d4bd13f663ceedcf6199559703e7.1000x1000x1.jpg,6183,8392238,0.14224137931034483,https://genius.com/Kid-cudi-ignite-the-love-lyrics,2,68,Kid Cudi,https://genius.com/artists/Kid-cudi,661351,https://genius.com/albums/Kid-cudi/Entergalactic,2
Moving Here (Ft. Skrillex),22,150,na,NA,S2*,https://images.genius.com/26da54297be506aeebdbff03306223ad.640x640x1.jpg,NA,6719406,0.12790697674418605,https://genius.com/Kid-cudi-moving-here-lyrics,1,68,Kid Cudi,https://genius.com/artists/Kid-cudi,588051,https://genius.com/albums/Skrillex/S2,1
Dive,35,247,ayy,2020-12-11,Man on the Moon III: The Chosen,https://images.genius.com/07a3deb92bfe7c78f95add89edc0e5ed.1000x1000x1.png,128948,6250765,0.12411347517730496,https://genius.com/Kid-cudi-dive-lyrics,4,68,Kid Cudi,https://genius.com/artists/Kid-cudi,692902,https://genius.com/albums/Kid-cudi/Man-on-the-moon-iii-the-chosen,4
Livin' My Truth,30,216,uh,2022-09-30,Entergalactic,https://images.genius.com/34e7d4bd13f663ceedcf6199559703e7.1000x1000x1.jpg,NA,8392244,0.12195121951219512,https://genius.com/Kid-cudi-livin-my-truth-lyrics,2,68,Kid Cudi,https://genius.com/artists/Kid-cudi,661351,https://genius.com/albums/Kid-cudi/Entergalactic,3
The Pale Moonlight,51,376,nah,2020-12-11,Man on the Moon III: The Chosen,https://images.genius.com/07a3deb92bfe7c78f95add89edc0e5ed.1000x1000x1.png,90538,6250780,0.11943793911007025,https://genius.com/Kid-cudi-the-pale-moonlight-lyrics,5,68,Kid Cudi,https://genius.com/artists/Kid-cudi,692902,https://genius.com/albums/Kid-cudi/Man-on-the-moon-iii-the-chosen,5
Make Her Say (I Poke Her Face) (Ft. Common & Kanye West),84,627,oh,2009-06-09,Dat Kid From Cleveland,https://images.genius.com/d5c7c90fc58965951da4af5a29cc5416.630x630x1.jpg,288052,404,0.11814345991561181,https://genius.com/Kid-cudi-make-her-say-i-poke-her-face-lyrics,17,68,Kid Cudi,https://genius.com/artists/Kid-cudi,19137,https://genius.com/albums/Kid-cudi/Dat-kid-from-cleveland,1
Lovin’ Me,26,200,la,2020-12-11,Man on the Moon III: The Chosen,https://images.genius.com/07a3deb92bfe7c78f95add89edc0e5ed.1000x1000x1.png,119268,6250779,0.11504424778761062,https://genius.com/Kid-cudi-lovin-me-lyrics,6,68,Kid Cudi,https://genius.com/artists/Kid-cudi,692902,https://genius.com/albums/Kid-cudi/Man-on-the-moon-iii-the-chosen,6
We Forever,10,81,uh,NA,NA,https://images.genius.com/26da54297be506aeebdbff03306223ad.640x640x1.jpg,NA,6652337,0.10989010989010989,https://genius.com/Kid-cudi-we-forever-lyrics,1,68,Kid Cudi,https://genius.com/artists/Kid-cudi,NA,NA,3
Flight at First Sight / Advanced (Ft. Pharrell Williams),74,606,bmm,2016-12-16,"Passion, Pain & Demon Slayin’",https://images.genius.com/f8865356fee027178c8a101afce2f61a.1000x1000x1.png,60694,2867465,0.10882352941176471,https://genius.com/Kid-cudi-flight-at-first-sight-advanced-lyrics,4,68,Kid Cudi,https://genius.com/artists/Kid-cudi,152011,https://genius.com/albums/Kid-cudi/Passion-pain-demon-slayin,1
Mr. Rager,47,397,oh,2010-11-09,Man on the Moon II: The Legend of Mr. Rager,https://images.genius.com/14137476a886859359839ede660df307.1000x1000x1.jpg,621885,1687,0.10585585585585586,https://genius.com/Kid-cudi-mr-rager-lyrics,13,68,Kid Cudi,https://genius.com/artists/Kid-cudi,4428,https://genius.com/albums/Kid-cudi/Man-on-the-moon-ii-the-legend-of-mr-rager,3
Rose Golden (Ft. WILLOW),59,501,na,2016-12-16,"Passion, Pain & Demon Slayin’",https://images.genius.com/f8865356fee027178c8a101afce2f61a.1000x1000x1.png,325588,2867524,0.10535714285714286,https://genius.com/Kid-cudi-rose-golden-lyrics,12,68,Kid Cudi,https://genius.com/artists/Kid-cudi,152011,https://genius.com/albums/Kid-cudi/Passion-pain-demon-slayin,2
ILLusions,41,353,ohh,2016-12-16,"Passion, Pain & Demon Slayin’",https://images.genius.com/f8865356fee027178c8a101afce2f61a.1000x1000x1.png,94779,2867519,0.10406091370558376,https://genius.com/Kid-cudi-illusions-lyrics,5,68,Kid Cudi,https://genius.com/artists/Kid-cudi,152011,https://genius.com/albums/Kid-cudi/Passion-pain-demon-slayin,3
Angel,11,95,mm,2022-09-30,Entergalactic,https://images.genius.com/34e7d4bd13f663ceedcf6199559703e7.1000x1000x1.jpg,5807,8301810,0.10377358490566038,https://genius.com/Kid-cudi-angel-lyrics,0,68,Kid Cudi,https://genius.com/artists/Kid-cudi,661351,https://genius.com/albums/Kid-cudi/Entergalactic,4
Trapped in My Mind,39,339,oh,2010-11-09,Man on the Moon II: The Legend of Mr. Rager,https://images.genius.com/14137476a886859359839ede660df307.1000x1000x1.jpg,180062,3715,0.10317460317460317,https://genius.com/Kid-cudi-trapped-in-my-mind-lyrics,9,68,Kid Cudi,https://genius.com/artists/Kid-cudi,4428,https://genius.com/albums/Kid-cudi/Man-on-the-moon-ii-the-legend-of-mr-rager,4
The Commander,42,372,ahh,2016-12-16,"Passion, Pain & Demon Slayin’",https://images.genius.com/f8865356fee027178c8a101afce2f61a.1000x1000x1.png,62506,2932618,0.10144927536231885,https://genius.com/Kid-cudi-the-commander-lyrics,4,68,Kid Cudi,https://genius.com/artists/Kid-cudi,152011,https://genius.com/albums/Kid-cudi/Passion-pain-demon-slayin,4
Screwed,8,77,ayy,2015-12-04,Speedin’ Bullet 2 Heaven,https://images.genius.com/b82971c3819d9daa88e4cd61713052a0.1000x1000x1.jpg,23475,2383396,0.09411764705882353,https://genius.com/Kid-cudi-screwed-lyrics,0,68,Kid Cudi,https://genius.com/artists/Kid-cudi,128397,https://genius.com/albums/Kid-cudi/Speedin-bullet-2-heaven,3
Mojo So Dope,48,469,oh,2010-11-09,Man on the Moon II: The Legend of Mr. Rager,https://images.genius.com/14137476a886859359839ede660df307.1000x1000x1.jpg,344226,1869,0.09284332688588008,https://genius.com/Kid-cudi-mojo-so-dope-lyrics,11,68,Kid Cudi,https://genius.com/artists/Kid-cudi,4428,https://genius.com/albums/Kid-cudi/Man-on-the-moon-ii-the-legend-of-mr-rager,5
Mr.Rager,34,357,oh,2011-09-08,NA,https://images.genius.com/26da54297be506aeebdbff03306223ad.640x640x1.jpg,NA,6546993,0.08695652173913043,https://genius.com/Kid-cudi-mrrager-lyrics,2,68,Kid Cudi,https://genius.com/artists/Kid-cudi,NA,NA,4
The Prayer,36,390,la,2008-07-17,A Kid Named Cudi,https://images.genius.com/1a451a8afb940b34adb9ad01bc7527d6.513x513x1.jpg,597369,1822,0.08450704225352113,https://genius.com/Kid-cudi-the-prayer-lyrics,7,68,Kid Cudi,https://genius.com/artists/Kid-cudi,4424,https://genius.com/albums/Kid-cudi/A-kid-named-cudi,1
Kitchen (Ft. Jaden),29,340,hmm,2016-12-16,"Passion, Pain & Demon Slayin’",https://images.genius.com/f8865356fee027178c8a101afce2f61a.1000x1000x1.png,168714,2867559,0.07859078590785908,https://genius.com/Kid-cudi-kitchen-lyrics,4,68,Kid Cudi,https://genius.com/artists/Kid-cudi,152011,https://genius.com/albums/Kid-cudi/Passion-pain-demon-slayin,5
New Mode,26,311,oh,2022-09-30,Entergalactic,https://images.genius.com/34e7d4bd13f663ceedcf6199559703e7.1000x1000x1.jpg,9621,8392255,0.0771513353115727,https://genius.com/Kid-cudi-new-mode-lyrics,0,68,Kid Cudi,https://genius.com/artists/Kid-cudi,661351,https://genius.com/albums/Kid-cudi/Entergalactic,5
We Aite (Wake Your Mind Up),7,84,hm,2010-11-09,Man on the Moon II: The Legend of Mr. Rager,https://images.genius.com/14137476a886859359839ede660df307.1000x1000x1.jpg,35566,26051,0.07692307692307693,https://genius.com/Kid-cudi-we-aite-wake-your-mind-up-lyrics,2,68,Kid Cudi,https://genius.com/artists/Kid-cudi,4428,https://genius.com/albums/Kid-cudi/Man-on-the-moon-ii-the-legend-of-mr-rager,6
Sky Might Fall,39,478,ahh,2008-07-17,Dat Kid From Cleveland,https://images.genius.com/23da9eb13af7d717bed8f6bd5da7d419.1000x1000x1.png,143491,1156,0.07543520309477757,https://genius.com/Kid-cudi-sky-might-fall-lyrics,8,68,Kid Cudi,https://genius.com/artists/Kid-cudi,19137,https://genius.com/albums/Kid-cudi/Dat-kid-from-cleveland,2
Awesomely Dope,2,25,hey,NA,NA,https://images.genius.com/26da54297be506aeebdbff03306223ad.640x640x1.jpg,NA,6552131,0.07407407407407407,https://genius.com/Kid-cudi-awesomely-dope-lyrics,1,68,Kid Cudi,https://genius.com/artists/Kid-cudi,NA,NA,5
Love Stoned,24,301,ahh,NA,NA,https://images.genius.com/26da54297be506aeebdbff03306223ad.640x640x1.jpg,10136,4930,0.07384615384615385,https://genius.com/Kid-cudi-love-stoned-lyrics,1,68,Kid Cudi,https://genius.com/artists/Kid-cudi,NA,NA,6
GHOST!,30,380,na,2010-11-09,Man on the Moon II: The Legend of Mr. Rager,https://images.genius.com/14137476a886859359839ede660df307.1000x1000x1.jpg,333800,2337,0.07317073170731707,https://genius.com/Kid-cudi-ghost-lyrics,12,68,Kid Cudi,https://genius.com/artists/Kid-cudi,4428,https://genius.com/albums/Kid-cudi/Man-on-the-moon-ii-the-legend-of-mr-rager,7
Freshie,49,630,ah,NA,KC9*,https://images.genius.com/26da54297be506aeebdbff03306223ad.640x640x1.jpg,NA,7274464,0.07216494845360824,https://genius.com/Kid-cudi-freshie-lyrics,3,68,Kid Cudi,https://genius.com/artists/Kid-cudi,819200,https://genius.com/albums/Kid-cudi/Kc9,2
Tequila Shots,34,445,hm,2020-12-11,Man on the Moon III: The Chosen,https://images.genius.com/07a3deb92bfe7c78f95add89edc0e5ed.1000x1000x1.png,362672,6250762,0.0709812108559499,https://genius.com/Kid-cudi-tequila-shots-lyrics,12,68,Kid Cudi,https://genius.com/artists/Kid-cudi,692902,https://genius.com/albums/Kid-cudi/Man-on-the-moon-iii-the-chosen,7
Day 38,5,67,uh,NA,NA,https://images.genius.com/26da54297be506aeebdbff03306223ad.640x640x1.jpg,NA,4479601,0.06944444444444445,https://genius.com/Kid-cudi-day-38-lyrics,1,68,Kid Cudi,https://genius.com/artists/Kid-cudi,NA,NA,7
Wounds,13,176,hmmm,2016-12-16,"Passion, Pain & Demon Slayin’",https://images.genius.com/f8865356fee027178c8a101afce2f61a.1000x1000x1.png,60154,2867546,0.06878306878306878,https://genius.com/Kid-cudi-wounds-lyrics,3,68,Kid Cudi,https://genius.com/artists/Kid-cudi,152011,https://genius.com/albums/Kid-cudi/Passion-pain-demon-slayin,6
Tequila Shots (Prime Day Show x Kid Cudi),31,441,hm,2021-06-17,Prime Day Show x Kid Cudi,https://images.genius.com/db4578a0b4af70ee0a7ab5700d776dcb.600x600x1.jpg,NA,6922869,0.06567796610169492,https://genius.com/Kid-cudi-tequila-shots-prime-day-show-x-kid-cudi-lyrics,0,68,Kid Cudi,https://genius.com/artists/Kid-cudi,784634,https://genius.com/albums/Kid-cudi/Prime-day-show-x-kid-cudi,2
Another Day,29,436,hmm,2020-12-11,Man on the Moon III: The Chosen,https://images.genius.com/07a3deb92bfe7c78f95add89edc0e5ed.1000x1000x1.png,181129,6250763,0.06236559139784946,https://genius.com/Kid-cudi-another-day-lyrics,11,68,Kid Cudi,https://genius.com/artists/Kid-cudi,692902,https://genius.com/albums/Kid-cudi/Man-on-the-moon-iii-the-chosen,8
Pursuit of Happiness (Nightmare) (Ft. MGMT & Ratatat),25,382,oh,2009-09-15,Man on the Moon: The End of Day,https://images.genius.com/678a9114776c5da6b2e8acaa8c8d68a8.630x630x1.jpg,1203979,401,0.06142506142506143,https://genius.com/Kid-cudi-pursuit-of-happiness-nightmare-lyrics,18,68,Kid Cudi,https://genius.com/artists/Kid-cudi,4427,https://genius.com/albums/Kid-cudi/Man-on-the-moon-the-end-of-day,2
Brothers (Ft. A$AP Rocky & King Chip),46,708,hey,2013-04-12,Indicud,https://images.genius.com/e6cf8fb555c7d3a3add9bbbabb654891.1000x1000x1.jpg,253257,133898,0.0610079575596817,https://genius.com/Kid-cudi-brothers-lyrics,18,68,Kid Cudi,https://genius.com/artists/Kid-cudi,20193,https://genius.com/albums/Kid-cudi/Indicud,2
Down & Out,37,595,ah,2008-07-17,A Kid Named Cudi,https://images.genius.com/1a451a8afb940b34adb9ad01bc7527d6.513x513x1.jpg,111472,6347,0.058544303797468354,https://genius.com/Kid-cudi-down-and-out-lyrics,4,68,Kid Cudi,https://genius.com/artists/Kid-cudi,4424,https://genius.com/albums/Kid-cudi/A-kid-named-cudi,2
Surfin' (Ft. Pharrell Williams),52,846,aaa,2016-09-30,"Passion, Pain & Demon Slayin’",https://images.genius.com/23aff3418ecc0a9b60d36169beaf0a00.1000x1000x1.jpg,209822,2846383,0.05790645879732739,https://genius.com/Kid-cudi-surfin-lyrics,12,68,Kid Cudi,https://genius.com/artists/Kid-cudi,152011,https://genius.com/albums/Kid-cudi/Passion-pain-demon-slayin,7
Cosmic Warrior,11,183,mmmm,2016-12-16,"Passion, Pain & Demon Slayin’",https://images.genius.com/f8865356fee027178c8a101afce2f61a.1000x1000x1.png,53739,2867557,0.05670103092783505,https://genius.com/Kid-cudi-cosmic-warrior-lyrics,3,68,Kid Cudi,https://genius.com/artists/Kid-cudi,152011,https://genius.com/albums/Kid-cudi/Passion-pain-demon-slayin,8
Did You Get It,31,522,na,2010-09-01,NA,https://images.genius.com/26da54297be506aeebdbff03306223ad.640x640x1.jpg,NA,57743,0.05605786618444846,https://genius.com/Kid-cudi-did-you-get-it-lyrics,0,68,Kid Cudi,https://genius.com/artists/Kid-cudi,NA,NA,8
Maple,5,86,oh,NA,NA,https://images.genius.com/26da54297be506aeebdbff03306223ad.640x640x1.jpg,NA,4478734,0.054945054945054944,https://genius.com/Kid-cudi-maple-lyrics,1,68,Kid Cudi,https://genius.com/artists/Kid-cudi,NA,NA,9
